,song_name,key_signature	,harmonic_red,key_signature
0,"001---Shankar-Ehsaan-Loy,-Clinton-Cerejo,-Dominique-Cerejo,-Loy-Mendonsa---Kya-Karoon_basic_pitch.mid",,"['I53', 'I', 'V6', 'vi7', 'IV64', 'i7', 'I', 'vii', 'v', 'iv', 'I7', 'vii', 'iii43', 'vi', 'V42', 'I53', 'I42', 'V', 'vi53', 'V53', 'vi7', 'IV', 'I53', 'I', 'vi', 'vi7', 'IV7', 'vi7', 'vi43', 'I', 'I', 'V6', 'vi7', 'ii43', 'V64', 'I', 'vii', 'vi53', 'ii65', 'V53', 'I65', 'vi', 'vi7', 'IV42', 'i', 'iii', 'I', 'vi7', 'IV53', 'I53', 'V53', 'iv', 'i', 'IV', 'I53', 'V53', 'i', 'I64', 'IV', 'v', 'ii', 'IV', 'v', 'IV64', 'IV53', 'I64', 'I7', 'vi', 'I7', 'vi', 'vi', 'bVII7', 'v65', 'ii42', 'vi', 'vi', 'vi', 'ii65', 'i', 'I', 'iii', 'vi', 'V', 'V', 'IV64', 'I', 'I', 'IV64', 'vi7', 'vi7', 'vi53', 'vi', 'I53', 'I', 'IV64', 'IV64', 'vi43', 'vi', 'vi43', 'IV53', 'vi7', 'I', 'I53', 'I65', 'iv', 'vi7', 'IV42', 'i', 'I53', 'vii', 'vi', 'IV53', 'V', 'I53', 'V6', 'vi7', 'iv', 'V']",C major
1,"002---Amit-Trivedi,-Kavita-Seth,-Amitabh-Bhattacharya---Iktara_basic_pitch.mid",,"['v', 'vi42', 'vi65', 'vi6', 'vi65', 'vi65', 'vi65', 'ii42', 'I53', 'I53', 'I53', 'i', 'v', 'V', 'IV', 'IV64', 'V', 'ii42', 'vi', 'i', 'IV', 'ii42', 'vi65', 'ii42', 'vi6', 'I', 'vi65', 'ii7', 'vi65', 'I', 'IV53', 'IV', 'vi65', 'IV', 'v42', 'i', 'i', 'I53', 'v', 'ii7', 'I', 'I53', 'i', 'I53', 'vii', 'ii', 'iv', 'I', 'I', 'i', 'ii7', 'I', 'iv', 'i', 'I53', 'I', 'ii7', 'ii7', 'iv', 'iii7', 'vi', 'vi64', 'IV', 'vii', 'i', 'I6', 'vi7', 'vi64', 'IV53', 'IV53', 'iv7', 'ii', 'iii42', 'iv42', 'i', 'iv', 'iv42', 'IV42', 'I43', 'ii65', 'I42', 'I', 'iii7', 'v42', 'I', 'iv', 'ii65', 'I53', 'i', 'i', 'ii7', 'iii42', 'iv', 'I', 'i', 'I53', 'vii', 'ii', 'iv', 'i', 'iv', 'i', 'i', 'iv', 'i', 'vi7', 'ii65', 'V53', 'vi7', 'v42', 'i', 'iii53', 'iii7', 'vi', 'iv', 'IV53', 'i', 'vii', 'vi43', 'iv', 'i', 'vi', 'i', 'ii42', 'I', 'I64', 'v']",G major
2,"003---Amit-Trivedi,-Alia-Bhatt---Love-You-Zindagi---Club-Mix_basic_pitch.mid",,"['i', 'i', 'vi', 'i', 'i', 'i', 'vi43', 'i', 'i', 'vi7', 'I', 'vi64', 'I', 'vi7', 'I', 'I53', '#iii', 'vi43', 'iii7', 'I53', '#iii', 'vi43', 'i', 'ii', 'vi', 'i64', 'vi42', 'vi53', 'I', 'i64', 'vi', 'i', 'i', 'i64', 'vi7', 'i', 'i64', 'vi42', 'vi', 'I', 'i53', 'vi7', 'I', 'i53', 'i64', 'vi7', 'i', 'i', 'I', 'vi7', 'i', 'I', 'i', 'v', 'I', 'i', 'iii65', 'i', 'i53', '#iii65', 'vi7', 'I', 'i53', 'v', 'iii', 'i', 'i', 'vi', 'i', 'vi42', 'vi53', 'i6', '#iii65', 'vi', 'i', 'I', 'i64', 'vi7', 'I', 'i53', '#iii', 'vi', 'i6', 'I53', 'vi42', 'vi7', 'I', 'i64', 'vi7', 'i6', 'I', 'vi42', 'vi', 'i', 'I', 'iii65', 'vi', 'i', 'I', 'I53', 'I', 'I', 'I64', 'I53', 'I', 'i', 'i']",E- major
3,"004---Jawad-Ahmad,-Shaarib-Toshi,-Alia-Bhatt---Samjhawan-(Unplugged-by-Alia-Bhatt)-[From-Humpty-Sharma-Ki-Dulhania-]_basic_pitch.mid",,"['vi65', 'i', 'I', 'IV64', 'iv', 'vi65', 'vi7', 'i', 'i', 'i', 'i', 'I', 'i', 'i', 'I53', 'I', 'I', 'i', 'i', 'i', 'i', 'i', 'vi', 'vi53', 'I53', 'IV53', 'v', 'ii', 'v43', 'iii65', 'i', 'i', 'i', 'i', 'i', 'I53', 'iii53', 'vi43', 'IV', 'ii65', 'i', 'iii6', 'vi64', 'IV7', 'ii65', 'i', 'IV53', 'ii6', 'ii53', 'iv', 'iv', 'iv', 'ii42', 'ii7', 'iv', 'i', 'iv', 'ii53', 'ii53', 'i', 'i', 'iv', 'IV', 'ii53', 'i', 'ii7', 'I42', 'I43', 'iv', 'I53', 'vi', 'vi', 'iii', 'IV53', 'v', 'iv', 'v7', 'iii', 'i', 'i', 'i', 'i', 'I', 'i', 'i', 'i', 'i', 'i', 'I53', 'vi53', 'vi', 'iii53', 'IV64', 'ii42', 'V53', 'iii65', 'I65', 'iii53', 'iv', 'IV', 'iii42', 'v7', 'i', 'vi65', 'I', 'iv', 'ii42', 'i']",B- major
4,"006---Amit-Trivedi,-Arijit-Singh---Tu-Hi-Hai_basic_pitch.mid",,"['iv', 'i', 'IV43', 'iv', 'i', 'I53', 'i', 'vi42', 'I', 'I53', 'i', 'i', 'v42', 'iv', 'ii7', 'vi65', 'vi65', 'iv', 'IV7', 'iii42', 'vi53', 'bi', 'i', 'I', 'I', 'vi53', 'I', 'i', 'I', 'i', 'iv', 'v', 'IV53', 'bi', 'v', 'ii', 'v', 'IV53', 'vi', 'ii6', 'v', 'vi', 'ii', 'i', 'IV7', 'vi42', 'iii42', 'IV42', 'i', 'iv', 'IV', 'iv', 'v', 'i', 'iv', 'iv', 'iv', 'v42', 'vi42', 'vi', 'v42', 'I64', 'i', 'I64', 'vi', 'i', 'iv7', 'I64', 'i', 'v', 'IV53', 'iv', 'v', 'ii7', 'v', 'IV53', 'i', 'iv43', 'i', 'v', 'iv', 'iv', 'v', 'ii7', 'v42', 'v', 'i', 'i', 'v', 'iv', 'ii65', 'v', 'ii53', 'v42', 'iv', 'i', 'i', 'ii42', 'bi', 'i']",E major
5,007---Amit-Trivedi---Manja_basic_pitch.mid,,"['i7', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i7', 'V', 'i', 'i', 'I', 'vii', 'i7', 'i', 'i', 'i7', 'i7', 'i', 'i', 'ii', 'I', 'iv', 'i7', 'i', 'i7', 'i', 'i', 'i', 'iv', 'vi65', 'I53', 'I53', 'I53', 'IV53', 'V53', 'i', 'i', 'i', 'vi7', 'vi42', 'vi53', 'iv', 'v43', 'iii', 'i', 'I53', 'i', 'i', 'V', 'v', 'iii42', 'vi64', 'iii53', 'i', 'I53', 'i', 'i', 'iv43', 'i', 'i', 'I', 'i', 'i', 'i', 'i', 'i', 'i', 'I', 'i', 'vi43', 'I53', 'I53', 'vi7', 'I64', 'I64', 'vi7', 'IV6', 'IV53', 'iv', 'i', 'IV53', 'IV64', 'I53', 'I', 'I53', 'ii42', 'I', 'I', 'vi42', 'IV', 'ii53', 'V7', 'vi7', 'IV53', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i', 'i']",D major
6,"009---Tanishk-Bagchi,-Arijit-Singh,-Asees-Kaur---Bolna-(From-Kapoor-&-Sons-(Since-1921)-)_basic_pitch.mid",,"['I53', 'V', 'vi7', 'iii6', 'V42', 'V', 'I7', 'V', 'iii', 'iv', 'V42', 'I53', 'v42', 'IV53', 'i', 'iv', 'ii', 'I', 'iv', 'I', 'ii65', 'iv', 'I', 'iv', 'iv', 'i', 'iv', 'i', 'iv', 'iv', 'I53', 'V', 'iv', 'I53', 'IV', 'IV', 'vi42', 'vi53', 'I64', 'IV53', 'IV', 'v', 'IV', 'ii42', 'I53', 'iv', 'ii42', 'iv', 'iv7', 'i', 'iv', 'iv', 'I53', 'vii', 'i', 'ii42', 'IV53', 'I53', 'i', 'iv', 'I53', 'V', 'v', 'vi42', 'I65', 'I64', 'vi42', 'vi42', 'vii', 'IV', 'vi42', 'iii', 'I', 'iv', 'iv', 'i', 'iv', 'iv7', 'I53', 'iv', 'I', 'i', 'IV53', 'ii', 'iv', 'iv', 'vi', 'iv', 'IV43', 'i7', 'iv', 'iv43', 'i', 'V', 'i', 'iv', 'IV', 'i', 'iv', 'iv', 'i7', 'vii', 'ii65', 'I53', 'I64', 'i']",F major
7,"010---Pritam,-Amit-Mishra,-Shilpa-Rao---Bulleya-(From-Ae-Dil-Hai-Mushkil-)_basic_pitch.mid",,"['i', 'i7', 'iv42', 'iv43', 'i65', 'iv65', 'i53', 'VI7', 'iv43', 'i53', 'iii7', 'iv', 'iii', 'ii', 'ii42', 'iii43', 'ii', 'i', 'i', 'i', 'i', 'i65', 'VI65', 'bii7', 'v', 'v', 'i7', 'i', 'i', 'vi7', 'VI6', 'bii', 'iv', 'I', 'i43', 'VI53', 'ii42', 'i42', 'VI64', 'i', 'i65', 'iv', 'v6', 'VI', 'I6', 'i65', 'iv7', 'iv', 'i42', 'VI64', 'i', 'VI53', 'iv', 'v6', 'VI', 'i', 'i43', 'iii', 'ii65', 'iii7', 'ii', 'i53', 'iii', 'iii', 'i53', 'iii43', 'I65', 'i', 'i7', 'i7', 'VI', 'i53', 'i', 'iv43', 'v', 'iv', 'vi', '#iii', 'I', 'i65', 'v42', '#iii7', 'iii', 'VI65', 'VI7', 'I', 'i', 'VI', 'iv7', 'i42', 'vii42', 'I', 'i7', 'iv53', 'ii42', 'vii', 'VI64', 'i53', 'i', 'i64', 'iv', 'i53', 'i53', 'i', 'i', 'VI', 'i53', 'i', 'iv7', 'vii', 'III7', 'vi', 'vi', 'iv7', 'III65', 'ii65', 'iv', 'i', 'i53', 'iv7', 'vii', 'vii', 'vi', 'vi', 'iv7', 'v42', 'V53', 'V53', 'III7', 'bII7', 'ii42', 'i', 'iv7', 'bii', 'vi42', 'i43', 'i', 'VI53', 'v42', 'i43', 'vi', 'I', 'vi', 'iv', 'v53', '#vi', 'vi', 'i', 'VI53', 'iv', 'v', '#vi64', 'I53', 'iv42', 'iv', 'i', 'I65', 'iii7', 'i', 'vi', 'v42', 'v', '#vi64', 'iv42', 'III', 'v42', 'III6', '#iii', 'vi43', 'i', 'i', 'i', 'i', 'i']",d minor
8,"011---Badshah,-Amaal-Mallik,-Fazilpuria,-Sukriti-Kakar,-Neha-Kakkar---Kar-Gayi-Chull-(From-Kapoor-&-Sons-(Since-1921)-)_basic_pitch.mid",,"['v', 'i43', 'i65', 'bi', 'v', 'i43', 'bii42', 'v', 'v', 'v', 'ii43', 'i43', 'v', 'i7', 'bVI7', 'i43', 'bi43', 'v', 'i', 'i43', 'v', 'i43', 'i43', 'v53', 'v', 'i', 'v42', 'i65', 'iv', 'i42', 'bVI65', 'i', 'vi7', 'bV', 'vi7', 'i', 'biv', 'bv42', 'bvi7', 'v53', 'v', 'i', 'v', 'v', 'v', 'i43', 'v42', 'vi7', 'vi7', 'v', 'vi', 'bv42', 'bv', 'bv42', 'bv42', 'i', 'v', 'i', 'i43', 'IV', 'vi7', 'vi7', 'vi7', 'v', 'bVI', 'i', 'bV', 'v', 'bVII65', 'v42', 'bV', 'v', 'iv', 'v53', 'v42', 'v', 'iv', 'v7', 'i', 'vi42', 'i', 'vi7', 'vi7', 'i', 'i', 'v', 'biv', 'i', 'biv', 'biv', 'i', 'vi42', 'i', 'bvii']",B major
9,"012---Jawad-Ahmad,-Shaarib-Toshi,-Arijit-Singh,-Shreya-Ghoshal---Samjhawan-(From-Humpty-Sharma-Ki-Dulhania-)_basic_pitch.mid",,"['I53', 'bi', 'bi', 'bi', 'I', 'iv', 'i', 'iv', 'ii42', 'I6', 'i', 'bi', 'ii42', 'I53', 'i', 'i', 'vi', 'iv', 'I', 'ii65', 'I53', 'ii42', 'iv', 'ii42', 'ii65', 'I53', 'iii', 'i', 'vi', 'vi7', 'IV53', 'iv', 'ii42', 'ii53', 'I', 'ii', 'I53', 'ii', 'I53', 'vi', 'vi', 'IV7', 'IV53', 'i', 'ii7', 'v42', 'ii65', 'I53', 'ii65', 'iv', 'i', 'i', 'I', 'vi7', 'iv', 'i', 'vi53', 'vi64', 'iv', 'v42', 'i', 'i', 'IV', 'ii53', 'i', 'i', 'IV', 'ii', 'vi', 'bi', 'ii7', 'iv42', 'IV53', 'i', 'vi', 'vi7', 'IV53', 'iv', 'ii42', 'v43', 'iii', 'ii6', 'I53', 'ii65', 'i', 'i', 'vi53', 'vi', 'iv42', 'iv', 'I', 'i', 'vi', 'iii', 'iv', 'i', 'i', 'v', 'i', 'IV53', 'I', 'v7', 'i', 'iv', 'ii53', 'vi65', 'i', 'i', 'IV', 'ii', 'i', 'ii7', 'iii', 'IV53', 'IV', 'vi43', 'vi64', 'vi7', 'IV', 'i', 'ii', 'iii', 'v42', 'I', 'ii65', 'I', 'I53', 'I64', 'iii', 'I64', 'i', 'i', 'i', 'i']",E major
